Rumores,Joan Sebastián
Amante Bandido,Miguel Bosé
Te quiero,Hombres G
La chica del Bikini Azul,Luis Miguel
Súbete a mi moto,Menudo
La Muralla Verde,Los Enanitos Verdes
Bella Señora,Emmanuel
Ni tú ni nadie,Alaska y Dinarama
Amor Eterno,Rocío Dúrcal
Para Amarnos Más,Mijares
Lobo-hombre en París,La Unión
No Sé Si Es Amor,Timbiriche
Cuando Calienta El Sol,Luis Miguel
Si No Es Ahora,Timbiriche
La Fuerza Del Destino,Mecano
Maracas,Alberto Vázquez & Joan Sebastian
La Incondicional,Luis Miguel
Persiana Americana,Soda Stereo
En algún lugar,Duncan Dhu
Claridad,Menudo
La Negra Tomasa,Caifanes
Devuélveme a mi chica,Hombres G
A quién le importa,Alaska y Dinarama
La Puerta de Alcalá,Ana Belén & Victor Manuel
Lucha de Gigantes,Nacha Pop
Un Buen Perdedor,Franco de Vita
Tú Y Yo Somos Uno Mismo,Timbiriche
Él Me Mintió,Amanda Miguel
Yo No Te Pido La Luna,Daniela Romo
Triste Canción,El Tri
Toda la Vida,Emmanuel
Isabel,Luis Miguel
Nena,Miguel Bosé
Como yo te amo,Raphael
Maldita Primavera,Yuri
Cuando Seas Grande,Miguel Mateos
Querida,Juan Gabriel
Fiesta En América,Chayanne
Cuando Pase El Temblor,Soda Stereo
Cómo Te Va Mi Amor,Pandora
Hasta Que Te Conocí,Juan Gabriel
Tan Enamorados,Ricardo Montaner
Viento,Caifanes
Celos,Daniela Romo
Mátenme Porque Me Muero,Caifanes
Se Como Duele,Karina
Olvídame y Pega la Vuelta,Pimpinela
Preso,José José
Me siento bien,Horacio Fontova
Cosas mías,Los Abuelos de la Nada
Héroes anónimos,Metrópoli
Conversación nocturna,Los Fabulosos Cadillacs
Cartas sin marcar,Andrés Calamaro
La bifurcada,Memphis la blusera
Caminando por el microcentro,Attaque 77
Debajo del puente,Ariel Rot
Solo se trata de vivir,Litto Nebbia
Lambada,Kaoma
En blanco y negro Buenos Aires,Silvina Garré
Signos,Soda Stereo
No hace falta,Alejandro Lerner
Gente que no,Todos tus muertos
Hasta luego, cocodrilo
Radio Venus,Los Helicópteros
Desnudita es mejor,Divina Gloria
Toda la noche hasta que salga el sol,Orions
Dulce Daniela,Víctor Heredia
Jugando hulla hulla,Los Twist
Cuántas minas que tengo,Ignacio Copani
Susy Cadillac,Riff
Sucia estrella,Ratones Paranoicos
Manso y tranquilo,Piero
Mi novia se cayó a un pozo ciego,Los Fabulosos Cadillacs
Cómo estás querida,Sergio Denis
Los hermanos Pinzones,Fontova y sus sobrinos
Amanece en la ruta,Suéter
Mi agüita amarilla,Toreros Muertos
No te alejes tanto de mi,Luis Alberto Spinetta
Que alegría,Johnny Tolengo
Una Luna de Miel en la Mano,Virus
Mirtha de regreso,Juan Carlos Baglietto
Djobi djobá,Gipsy Kings
Los viejos vinagres,Sumo
Soy lo que soy,Sandra Mihanovich
Por el resto,Enanitos Verdes
Ámame en cámara lenta,Valeria Lynch
Costumbres argentinas,Los Abuelos de la Nada
Que tendrá el petiso,Ricky Maravilla
Pensar en nada,León Gieco
Nada que perder,Los Pericos
No llores por mí Argentina,Serú Girán
Saca la mano, Antonio Las Primas
Silencio hospital,Los Fabulosos Cadillacs
Bikini a lunares amarillos diminutos justo justo,Viuda e Hijas de Roque Enroll
Y cómo es él,José Luis Perales
Nada personal,Soda Stereo
Puerto pollensa,Sandra Mihanovich
Maribel se durmió,Spinetta Jade
A esa,Pimpinela
Ella vendrá,Don Cornelio y la Zona
Solo los chicos,Fito Páez
Por qué me abandonaste,Paloma San Basilio
Es la vida que me alcanza,Celeste Carballo
Fanky,Charly García
Twist de Luis,Los Twist
Wadu Wadu,Virus
Es por amor,G.I.T.
El ritual de la banana,Los Pericos
Mejor no hablar (de ciertas cosas),Sumo
Solo quiero rock and roll,La Torre
Bamboleo,Gipsy Kings
No voy en tren,Charly García
Qué ganas de no verte nunca más,Valeria Lynch
Represión,Los Violadores
La muralla verde,Enanitos Verdes
Toda la vida,Emmanuel
En la ciudad de la furia,Soda Stereo
Lunes por la madrugada,Los abuelos de la Nada
Lollipop,Viuda e Hijas de Roque Enroll
Ciudad de pobres corazones,Fito Páez
Bailando en las veredas,Raúl Porchetto
Masacre en el puticlub,Patricio Rey y sus redonditos de ricota
Quién se ha tomado todo el vino,Carlitos Mona Jiménez
Cuando amas a alguien,César "Banana" Pueyrredón
Yo te avisé,Los Fabulosos Cadillacs
Pensé que se trataba de cieguitos,Los Twist
El gran varón,Willie Colón
Imágenes paganas,Virus
Solo le pido a Dios,León Gieco
Juanito Alimaña,Héctor Lavoe
Todo a pulmón,Alejandro Lerner
Tu con el,Frankie Ruiz
Lluvia,Eddie Santiago
Echao pa'lante,Joe Arroyo
La rubia tarada,Sumo
La colina de la vida,Charly García
Loco,Los Auténticos Decadentes
Ausencia,Héctor Lavoe
Tira para arriba,Miguel Mateos/Zas
Te quiero tanto,Sergio Denis
Vasos vacíos,Los Fabulosos Cadillacs
Mil horas,Los abuelos de la nada
No me dejan salir,Charly García
La Cita,Galy Galiano
La vida es un carnaval,Celia Cruz
Cinco noches,Paquito Guzmán
La gota fría,Carlos Vives
Me das cada día más,Valeria Lynch
Sera Porque Te Amo,Ricchi E Poveri
