Cancion,Artista,Letra
A esa,Pimpinela,"L VEN AQUI, QUIERO DECIRTE ALGO...

A esa, que te aparta de mí­, 
Que me roba tu tiempo, tu alma y tu cuerpo,

Ve y dile...

J Qué quieres?

L Que venga, que tenga valor,

Que muestre la cara y me hable de frente

Si quiere tu amor...

J Para qué?

L A esa, que cuando está contigo 

Va vestida de princesa,

A esa, que no te hace preguntas

Y siempre está¡ dispuesta,

A esa, vete y dile tú... 

J Qué?

L Que venga...

J Para qué?

L Yo le doy mi lugar...

J Qué quieres probar?

L Que recoja tu mesa, que lave tu ropa

Y todas tus miserias...

J Qué quieres demostrar?

L Que venga, que se juegue por ti...

J Qué vas a conseguir?

L Quiero ver si es capaz de darte las cosas

Que yo te di...

A esa, a esa...

A esa vete y dile tú, que venga...

J Esa, que te pone tan mal

Fue capaz de hacerme volver a vivir

Ilusiones perdidas.

A esa, que te hace hablar 

Yo le debo las cosas que hace mucho tiempo

Tú ya no me das...

L A esa, qué le puede costar

Hacerte feliz una hora por día?

A esa, no le toca vivir ninguna tristeza,

Todo es alegrí­a.

A esa vete y dile tú..

J Qué?

L Que venga...

J Para qué?

L Yo le doy mi lugar...

J Qué quieres probar?

L Que recoja tu mesa, que lave tu ropa

Y todas tus miserias...

J Qué quieres demostrar?

L Que venga, que se juegue por ti...

J Qué vas a conseguir?

L Quiero ver si es capaz de darte las cosas

Que yo te di...

L Que venga...

J Para que...

L Yo le doy mi lugar... 

J Que quieres probar...

L Que recoja tu mesa que lave tu ropa y todas tus miserias

J Que quieres demostrar...

L Que venga que se juegue por ti...

J Que vas a conseguir...

L Quiero ver si es capaz de darte las cosas que to te di...

A esa, a esa...

A esa vete y dile tú, que venga..."
A quién le importa,Alaska y Dinarama,"La gente me señala

me apuntan con el dedo

susurra a mis espaldas

y a mi me importa un bledo.

Que mas me da

si soy distinta a ellos

no soy de nadie,

no tengo dueño.



Yo se que me critican

me consta que me odian

la envidia les corroe

mi vida les agobia.



Porque sera?

yo no tengo la culpa

mi circunstancia les insulta.



Mi destino es el que yo decido

el que yo elijo para mi

A quien le importa lo que yo haga?

A quien le importa lo que yo diga?

Yo soy asi, y asi seguire, nunca cambiare



A quien le importa lo que yo haga?

A quien le importa lo que yo diga?

Yo soy asi, y asi seguire, nunca cambiare



Quiza la culpa es mia

por no seguir la norma,

ya es demasiado tarde

para cambiar ahora.



Me mantendre

firme en mis convicciones,

reforzare mis posiciones.



Mi destino es el que yo decido

el que yo elijo para mi

A quien le importa lo que yo haga?

A quien le importa lo que yo diga?

Yo soy asi, y asi seguire, nunca cambiare



A quien le importa lo que yo haga?

A quien le importa lo que yo diga?

Yo soy asi, y asi seguire, nunca cambiare.



A quien le importa lo que yo haga?

A quien le importa lo que yo diga?

Yo soy asi, y asi seguire, nunca cambiare"
Amante Bandido,Miguel Bosé,"Yo seré el viento que va

navegare por tu oscuridad

tu roció

beso frió

que me quemara.

Yo seré tormento y amor

tu la marea que arrastra a los dos

yo y tu

tu y yo

no dirás que no...

no dirás que no...

no dirás que no...



Seré tu amante bandido (bandido)

corazón, corazón malherido

seré tu amante cautivo (cautivo)

seré ahum!



Pasión privada adorado enemigo

huracán, huracán abatido

me perderé en un momento contigo

por siempre...



Yo seré un hombre por ti

renunciare a se lo que fui

yo y tu

tu y yo

sin misterio...

sin misterio...

sin misterio...



Seré tu amante bandido (bandido)

corazón, corazón malherido

seré tu amante cautivo (cautivo)

seré ahum!



Pasión privada adorado enemigo

huracán, huracán abatido

me perderé en un momento contigo

por siempre..."
Amor Eterno,Rocío Dúrcal,"Tu eres la tristeza de mis ojos 
que lloran en silencio por tu amor 
me miro en el espejo y veo en mi rostro 
el tiempo que he sufrido por tu adios

Obligo a que te olvide el pensamiento

pues siempre estoy pensando en el ayer

prefiero estar dormida que despierta

de tanto que me duele que no estes



Como quisiera ahhh que tu vivieras 

que tus ojitos jamas se hubieran

cerrado nunca y estar mirandolos



Amor eterno e inolvidable 

tarde o temprano estare contigo

para seguir amandonos



Yo he sufrido tanto por tu ausencia 

que desde ese dia hasta hoy no soy feliz

y aunque tengo tranquila mi conciencia 

se que pude haber yo hecho mas por ti



Oscura soledad estoy viviendo

la misma soledad de tu sepulcro

tu eres el amor del cual yo tengo

el mas triste recuerdo de Acapulco



Como quisiera ahhh que tu vivieras 

que tus ojitos jamas se hubieran

cerrado nunca y estar mirandolos

amor eterno e inolvidable 

tarde o temprano estare contigo

para seguir amandonos



Amor eterno (amore eterno) eterno...."
Ausencia,Héctor Lavoe,"Ha terminado otro capítulo en mi vida 
La mujer que amaba hoy se me fue 
Esperando noche y día 
Y no se decide a volver

Pero yo sé que volverá 
Y si no de penas moriré 

Qué yo he hecho

Qué te hizo partir



Sé, si con el tiempo 

Esta herida se sanará 

No hubo 

Motivo 

Para terminar

La he tratado de olvidar

Mas sin embargo la recuerdo más

No se asombre si ven a un hombre llorar



No importa tu ausencia te sigo esperando 

El día que tu te fuistes 

Triste me quedé llorando 

Ay regresa te lo pido 

Que por tu amor

Te juro me estoy matando



No importa tu ausencia te sigo esperando 

Eh yo vi llorar a un hombre ante un espejo 

Por un amor que le negara el cielo 

Y asombrado me dio un escalofrío 

Al ver en ese espejo el rostro mío



No importa tu ausencia te sigo esperando 

Eh y yo seguiré esperando 

Hasta el día en que me muera

Si Dios me quita la luna no me siento malo

Pero si me lleva a ti me lleva las estrellas



No importa tu ausencia te sigo esperando 

Oye veinte años no son nada 

Si te gusta romper un coco 

Por mi madre yo te juro a ti cosa buena 

Que si no vuelves yo me voy a volver loco

No importa tu ausencia te sigo esperando"
Bamboleo,Gipsy Kings,"Este amor llega asi esta manera 
No tiene la culpa 
Caballo le ven sabana 
Porque muy depreciado,

Por eso no te perdon de llorar 
Este amor llega asi esta manera 

No tiene la culpa,

Amor de comprementa 

Amor del mes pasado 

Bebele, bembele, bembele 



Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi 

Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi 

No tiene pardon de dios 

Tu eres mi vida, la fortuna del destino 

Pero el destino tendressa para dos 

Lo mismo yo que ayer 

Lo mismo soy yo 

No te encuentro a l'abandon 

Es imposible no te encuentro de verdad 

Por eso un dia no cuentro si de nada 

Lo mismo you que ayer 

Yo pienso en ti 



Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi 

Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi 



Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi 

Bamboleo, bambolea 

Porque mi vida, yo la prefiero vivir asi"
Caminando por el microcentro,Attaque 77,"Horas estuve buscando

algún cine continuado

para verte más seguido

Edda. ""Correccional de mujeres""

ya la vi yo varias veces, pero no me importaría

verla más

Edda, no puedo dormir

desde que te vi

Casi siempre pienso en ti

y ya soy adicto a tu sexo

Oh, acomodador

por favor, no me saque de aquí

no podría estar sin ver

otra función más

Caminando por el microcentro

ya no puedo estar adorando las pantallas

ya no puedo más

Edda, Edda, Bustamante

Edda, Edda, Edda, ven a mí"
Cartas sin marcar,Andrés Calamaro,"Igual que un niño abandonado

Que en la calle lo han dejado

Yo te busco desesperado

Necesito un amigo

Necesito que alguien quiera hablar conmigo

Cuando empieza a amanecer

La verdad es tan cruel

Y tu lo sabes, eres testigo

Ahora soy un mendigo

Que camina por las calles perdido.



No me siento bien

Hoy perdi la fe

La suerte juega con cartas sin marcar

No se puede cambiar."
Cinco noches,Paquito Guzmán,"Déjame que quererte, 
Es fácil desnudar tu corazón 
Para conocerte 
Tendría que trepar a tu balcón 
Una noche descubrí tu piel 

Y otra noche procurar ser fiel 

Y otra noche para conocer la trata de tus besos 

Y otra noche para discutir 

Y otra noche para perdonar 

Cinco noches para estar loco por ti 



Porque te quiero te lo juro 

Pero dudas si te quiero, yo te quiero 

Haz un instante diferente 

Es como un cuento que te cuento porque sí 

Es un lamento que quiere entrar dentro de mi 

Un laberinto dentro de ti 



Déjame que quererte, 

Me bastan cinco noches junto a ti 



Déjame que quererte, 

No pongas tantas trampas al amor 

Para comprenderte 

me bastan cinco noches por favor 



Una noche descubrí tu piel 

Y otra noche procurar ser fiel 

Y otra noche para conocer la trata de tus besos 

Y otra noche para discutir 

Y otra noche para perdonar 

Cinco noches para estar loco por ti 



Son cinco noches junto a ti 



(Son cinco noches para estar loco por ti) 

Porque estoy loco por ti sólo quiero cinco noches 

(Son cinco noches para estar loco por ti) 

Es un lamento que quiere estar dentro de mí 

(Son cinco noches para estar loco por ti) 

Una noche para descubrir tu piel 

Y otra para procurar ser fiel 



(Son cinco noches para estar loco por ti) 

Es como un cuento que te cuento porque sí, un laberinto 

(Son cinco noches para estar loco por ti) 



Y déjame quererte 

No pongas tantas trampas al amor 

(Son cinco noches para estar loco por ti) 

Son cinco noches junto a ti"
Ciudad de pobres corazones,Fito Páez,"En esta puta ciudad todo se incendia y se va,

matan a pobres corazones.

En esta sucia ciudad no hay que seguir ni parar,

ciudad de locos corazones.

No quiero salir a fumar,

no quiero salir a la calle con vos.

No quiero empezar a pensar

quién puso la yerba en ese viejo cajón.



Buen día lexotanil,

buen día señora, buen día doctor.

Maldito sea tu amor

tu inmenso reino y tu ansiado dolor.



¿Qué es lo que quieren de mí,

qué es lo que quieren saber?

No me verás arrodillado.



Dicen que ya no soy más yo,

que estoy más loco que ayer,

y matan a pobres corazones."
